Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
"This USGS data file has been deprecated. To continue receiving updates for earthquake information you must switch to the new data format [http://earthquake.usgs.gov/earthquakes/feed/]. In the future, data feeds will be updated and deprecated following our official deprecation policy [http://earthquake.usgs.gov/earthquakes/feed/policy.php]."
nc,72103006,0,"Thursday, November  7, 2013 20:26:49 UTC",37.7662,-122.6277,1.7,0.70,13,"offshore Northern California"
ak,10841091,1,"Thursday, November  7, 2013 20:26:10 UTC",62.9771,-148.7843,1.2,60.20, 5,"Central Alaska"
nc,72102991,0,"Thursday, November  7, 2013 19:45:07 UTC",38.8130,-122.8112,1.4,1.70,19,"Northern California"
hv,60588241,2,"Thursday, November  7, 2013 19:39:48 UTC",19.4242,-155.6325,2.0,2.80,29,"Island of Hawaii, Hawaii"
ak,10841066,1,"Thursday, November  7, 2013 19:34:44 UTC",64.9979,-147.3226,1.2,4.80, 7,"Central Alaska"
nn,00428674,1,"Thursday, November  7, 2013 19:30:30 UTC",40.1293,-120.8950,1.8,7.00,11,"Northern California"
ak,10841058,1,"Thursday, November  7, 2013 19:27:37 UTC",61.9813,-150.6802,1.6,40.40, 9,"Southern Alaska"
ak,10841053,1,"Thursday, November  7, 2013 19:24:23 UTC",63.4461,-147.6541,2.0,0.00,28,"Central Alaska"
nc,72102971,1,"Thursday, November  7, 2013 19:21:22 UTC",36.2465,-120.8195,2.8,7.60,76,"Central California"
ak,10840943,2,"Thursday, November  7, 2013 18:45:27 UTC",60.4587,-147.7443,1.2,9.60, 6,"Southern Alaska"
nc,72102941,0,"Thursday, November  7, 2013 18:43:10 UTC",37.4103,-118.6037,1.5,11.50, 9,"Central California"
nc,72102936,1,"Thursday, November  7, 2013 18:41:37 UTC",36.8135,-121.5430,1.9,5.10,34,"Central California"
nn,00428668,1,"Thursday, November  7, 2013 18:40:14 UTC",37.5535,-117.5163,1.3,8.80, 7,"Nevada"
uw,60626296,1,"Thursday, November  7, 2013 18:26:15 UTC",43.6600,-121.4343,2.2,0.00,13,"Oregon"
pr,13311008,0,"Thursday, November  7, 2013 18:24:32 UTC",18.1791,-68.0501,2.8,99.00, 7,"Mona Passage, Dominican Republic"
ak,10840886,1,"Thursday, November  7, 2013 18:21:08 UTC",63.5242,-147.8587,1.3,27.00, 9,"Central Alaska"
ak,10840881,1,"Thursday, November  7, 2013 18:16:53 UTC",63.1599,-150.3958,1.8,99.50,20,"Central Alaska"
ak,10840875,1,"Thursday, November  7, 2013 18:03:49 UTC",63.1065,-150.7491,1.7,100.00,17,"Central Alaska"
ci,11388794,2,"Thursday, November  7, 2013 17:43:14 UTC",33.7715,-116.9550,1.4,18.60,33,"Southern California"
ak,10840859,1,"Thursday, November  7, 2013 17:26:09 UTC",62.2071,-145.5269,1.5,7.00, 4,"Central Alaska"
ak,10840856,1,"Thursday, November  7, 2013 17:22:56 UTC",60.3639,-150.9520,1.5,35.50, 9,"Kenai Peninsula, Alaska"
ak,10840854,1,"Thursday, November  7, 2013 17:15:18 UTC",61.6008,-141.2190,1.6,0.00,14,"Southern Alaska"
nc,72102866,1,"Thursday, November  7, 2013 17:11:09 UTC",36.7943,-121.5268,1.5,6.10,22,"Central California"
ci,11388786,2,"Thursday, November  7, 2013 17:05:50 UTC",34.3382,-116.4627,2.3,8.60,70,"Southern California"
nc,72102856,0,"Thursday, November  7, 2013 16:59:01 UTC",40.1108,-120.8977,2.1,1.50,13,"Northern California"
ci,11388762,2,"Thursday, November  7, 2013 16:47:23 UTC",33.1200,-115.6468,1.7,18.30, 9,"Southern California"
nn,00428629,1,"Thursday, November  7, 2013 16:20:15 UTC",40.1072,-120.8753,1.8,7.00,11,"Northern California"
ak,10840840,1,"Thursday, November  7, 2013 16:18:49 UTC",60.5486,-146.9030,1.6,19.20, 8,"Southern Alaska"
nc,72102841,0,"Thursday, November  7, 2013 16:11:51 UTC",37.5705,-122.4447,1.1,10.30, 9,"San Francisco Bay area, California"
ak,10840834,1,"Thursday, November  7, 2013 16:07:06 UTC",62.1027,-145.1352,1.8,20.00,11,"Central Alaska"
nn,00428624,1,"Thursday, November  7, 2013 15:54:55 UTC",39.4013,-119.5643,1.1,7.30,17,"Nevada"
ci,11388746,2,"Thursday, November  7, 2013 15:33:45 UTC",33.2317,-115.6823,1.1,2.20,14,"Southern California"
nc,72102806,1,"Thursday, November  7, 2013 15:08:38 UTC",38.8215,-122.8042,2.0,3.10,39,"Northern California"
ci,11388738,2,"Thursday, November  7, 2013 15:07:25 UTC",32.9812,-116.4445,1.2,12.10,14,"Southern California"
ak,10840826,1,"Thursday, November  7, 2013 15:04:42 UTC",62.2611,-145.7979,1.3,18.10, 4,"Central Alaska"
ci,11388730,2,"Thursday, November  7, 2013 14:54:45 UTC",33.1933,-115.5600,1.6,7.20,11,"Southern California"
ak,10840818,2,"Thursday, November  7, 2013 14:26:23 UTC",53.2623,-169.5589,3.9,60.40,17,"Fox Islands, Aleutian Islands, Alaska"
pr,13311007,0,"Thursday, November  7, 2013 14:07:10 UTC",19.1643,-64.9725,3.0,13.00,11,"Virgin Islands region"
nc,72102781,0,"Thursday, November  7, 2013 13:57:18 UTC",39.3767,-122.9062,1.7,7.70,12,"Northern California"
hv,60588121,2,"Thursday, November  7, 2013 13:38:31 UTC",19.4278,-155.3082,1.8,5.10,64,"Island of Hawaii, Hawaii"
ak,10840808,1,"Thursday, November  7, 2013 13:09:33 UTC",64.6585,-149.6092,2.0,20.90,15,"Central Alaska"
ak,10840805,1,"Thursday, November  7, 2013 12:51:19 UTC",61.6889,-151.2238,1.3,70.90, 7,"Southern Alaska"
ci,11388722,2,"Thursday, November  7, 2013 12:34:20 UTC",33.3860,-116.9595,1.5,15.70,41,"Southern California"
ak,10840799,1,"Thursday, November  7, 2013 12:30:46 UTC",63.3841,-147.9886,1.0,39.30, 7,"Central Alaska"
ak,10840790,1,"Thursday, November  7, 2013 12:09:24 UTC",60.3103,-141.9353,1.2,0.00,12,"Southern Alaska"
nc,72102761,0,"Thursday, November  7, 2013 12:06:37 UTC",38.7533,-122.7108,1.0,3.80, 9,"Northern California"
ak,10840780,1,"Thursday, November  7, 2013 11:45:27 UTC",63.2161,-151.1419,1.7,8.40, 9,"Central Alaska"
ci,11388698,2,"Thursday, November  7, 2013 11:44:42 UTC",32.9488,-115.8590,1.3,6.40, 8,"Southern California"
ci,11388682,2,"Thursday, November  7, 2013 11:43:56 UTC",33.5608,-117.2250,1.5,12.20,44,"Southern California"
ci,11388658,2,"Thursday, November  7, 2013 11:38:41 UTC",35.2903,-118.6152,1.3,5.20,13,"Central California"
ci,11388650,2,"Thursday, November  7, 2013 11:33:58 UTC",34.5028,-118.8293,2.1,0.00,32,"Southern California"
ci,11388642,2,"Thursday, November  7, 2013 11:33:27 UTC",34.0768,-117.5607,1.2,12.30,11,"Greater Los Angeles area, California"
ci,11388634,2,"Thursday, November  7, 2013 11:32:29 UTC",34.0727,-117.5685,2.3,12.90,88,"Greater Los Angeles area, California"
nc,72102741,0,"Thursday, November  7, 2013 11:28:12 UTC",36.5658,-121.1632,1.6,7.70,12,"Central California"
nc,72102736,0,"Thursday, November  7, 2013 11:27:44 UTC",36.5685,-121.1610,1.4,10.20,10,"Central California"
ci,11388626,2,"Thursday, November  7, 2013 11:16:58 UTC",33.1527,-115.9790,1.2,8.60,25,"Southern California"
ak,10840770,1,"Thursday, November  7, 2013 10:50:24 UTC",61.5109,-149.9242,1.4,34.80, 7,"Southern Alaska"
nc,72102711,0,"Thursday, November  7, 2013 10:49:18 UTC",39.3130,-123.4595,2.0,2.80,10,"Northern California"
pr,13311006,0,"Thursday, November  7, 2013 10:18:41 UTC",18.7527,-64.3695,2.2,45.00, 5,"Virgin Islands region"
pr,13311005,0,"Thursday, November  7, 2013 10:17:43 UTC",18.6035,-67.6098,2.6,5.00,11,"Puerto Rico region"
nc,72102691,0,"Thursday, November  7, 2013 10:06:50 UTC",36.2012,-120.7527,1.5,9.60, 9,"Central California"
nn,00428615,1,"Thursday, November  7, 2013 10:01:54 UTC",39.6717,-119.6906,1.1,10.80,12,"Nevada"
ak,10840757,1,"Thursday, November  7, 2013 09:59:04 UTC",62.0373,-150.5072,2.3,48.70,45,"Central Alaska"
nc,72102686,4,"Thursday, November  7, 2013 09:55:09 UTC",40.3747,-125.2532,2.8,7.20,27,"offshore Northern California"
