"Src","Eqid","Version","Datetime","Lat","Lon","Magnitude","Depth","NST","Region"
"2","nc","72103006","0","Thursday, November  7, 2013 20:26:49 UTC",37.7662,-122.6277,1.7,0.7,13,"offshore Northern California"
"3","ak","10841091","1","Thursday, November  7, 2013 20:26:10 UTC",62.9771,-148.7843,1.2,60.2,5,"Central Alaska"
"4","nc","72102991","0","Thursday, November  7, 2013 19:45:07 UTC",38.813,-122.8112,1.4,1.7,19,"Northern California"
"5","hv","60588241","2","Thursday, November  7, 2013 19:39:48 UTC",19.4242,-155.6325,2,2.8,29,"Island of Hawaii, Hawaii"
"6","ak","10841066","1","Thursday, November  7, 2013 19:34:44 UTC",64.9979,-147.3226,1.2,4.8,7,"Central Alaska"
"7","nn","00428674","1","Thursday, November  7, 2013 19:30:30 UTC",40.1293,-120.895,1.8,7,11,"Northern California"
"8","ak","10841058","1","Thursday, November  7, 2013 19:27:37 UTC",61.9813,-150.6802,1.6,40.4,9,"Southern Alaska"
"9","ak","10841053","1","Thursday, November  7, 2013 19:24:23 UTC",63.4461,-147.6541,2,0,28,"Central Alaska"
"10","nc","72102971","1","Thursday, November  7, 2013 19:21:22 UTC",36.2465,-120.8195,2.8,7.6,76,"Central California"
"11","ak","10840943","2","Thursday, November  7, 2013 18:45:27 UTC",60.4587,-147.7443,1.2,9.6,6,"Southern Alaska"
"12","nc","72102941","0","Thursday, November  7, 2013 18:43:10 UTC",37.4103,-118.6037,1.5,11.5,9,"Central California"
"13","nc","72102936","1","Thursday, November  7, 2013 18:41:37 UTC",36.8135,-121.543,1.9,5.1,34,"Central California"
"14","nn","00428668","1","Thursday, November  7, 2013 18:40:14 UTC",37.5535,-117.5163,1.3,8.8,7,"Nevada"
"15","uw","60626296","1","Thursday, November  7, 2013 18:26:15 UTC",43.66,-121.4343,2.2,0,13,"Oregon"
"16","pr","13311008","0","Thursday, November  7, 2013 18:24:32 UTC",18.1791,-68.0501,2.8,99,7,"Mona Passage, Dominican Republic"
"17","ak","10840886","1","Thursday, November  7, 2013 18:21:08 UTC",63.5242,-147.8587,1.3,27,9,"Central Alaska"
"18","ak","10840881","1","Thursday, November  7, 2013 18:16:53 UTC",63.1599,-150.3958,1.8,99.5,20,"Central Alaska"
"19","ak","10840875","1","Thursday, November  7, 2013 18:03:49 UTC",63.1065,-150.7491,1.7,100,17,"Central Alaska"
"20","ci","11388794","2","Thursday, November  7, 2013 17:43:14 UTC",33.7715,-116.955,1.4,18.6,33,"Southern California"
"21","ak","10840859","1","Thursday, November  7, 2013 17:26:09 UTC",62.2071,-145.5269,1.5,7,4,"Central Alaska"
"22","ak","10840856","1","Thursday, November  7, 2013 17:22:56 UTC",60.3639,-150.952,1.5,35.5,9,"Kenai Peninsula, Alaska"
"23","ak","10840854","1","Thursday, November  7, 2013 17:15:18 UTC",61.6008,-141.219,1.6,0,14,"Southern Alaska"
"24","nc","72102866","1","Thursday, November  7, 2013 17:11:09 UTC",36.7943,-121.5268,1.5,6.1,22,"Central California"
"25","ci","11388786","2","Thursday, November  7, 2013 17:05:50 UTC",34.3382,-116.4627,2.3,8.6,70,"Southern California"
"26","nc","72102856","0","Thursday, November  7, 2013 16:59:01 UTC",40.1108,-120.8977,2.1,1.5,13,"Northern California"
"27","ci","11388762","2","Thursday, November  7, 2013 16:47:23 UTC",33.12,-115.6468,1.7,18.3,9,"Southern California"
"28","nn","00428629","1","Thursday, November  7, 2013 16:20:15 UTC",40.1072,-120.8753,1.8,7,11,"Northern California"
"29","ak","10840840","1","Thursday, November  7, 2013 16:18:49 UTC",60.5486,-146.903,1.6,19.2,8,"Southern Alaska"
"30","nc","72102841","0","Thursday, November  7, 2013 16:11:51 UTC",37.5705,-122.4447,1.1,10.3,9,"San Francisco Bay area, California"
"31","ak","10840834","1","Thursday, November  7, 2013 16:07:06 UTC",62.1027,-145.1352,1.8,20,11,"Central Alaska"
"32","nn","00428624","1","Thursday, November  7, 2013 15:54:55 UTC",39.4013,-119.5643,1.1,7.3,17,"Nevada"
"33","ci","11388746","2","Thursday, November  7, 2013 15:33:45 UTC",33.2317,-115.6823,1.1,2.2,14,"Southern California"
"34","nc","72102806","1","Thursday, November  7, 2013 15:08:38 UTC",38.8215,-122.8042,2,3.1,39,"Northern California"
"35","ci","11388738","2","Thursday, November  7, 2013 15:07:25 UTC",32.9812,-116.4445,1.2,12.1,14,"Southern California"
"36","ak","10840826","1","Thursday, November  7, 2013 15:04:42 UTC",62.2611,-145.7979,1.3,18.1,4,"Central Alaska"
"37","ci","11388730","2","Thursday, November  7, 2013 14:54:45 UTC",33.1933,-115.56,1.6,7.2,11,"Southern California"
"38","ak","10840818","2","Thursday, November  7, 2013 14:26:23 UTC",53.2623,-169.5589,3.9,60.4,17,"Fox Islands, Aleutian Islands, Alaska"
"39","pr","13311007","0","Thursday, November  7, 2013 14:07:10 UTC",19.1643,-64.9725,3,13,11,"Virgin Islands region"
"40","nc","72102781","0","Thursday, November  7, 2013 13:57:18 UTC",39.3767,-122.9062,1.7,7.7,12,"Northern California"
"41","hv","60588121","2","Thursday, November  7, 2013 13:38:31 UTC",19.4278,-155.3082,1.8,5.1,64,"Island of Hawaii, Hawaii"
"42","ak","10840808","1","Thursday, November  7, 2013 13:09:33 UTC",64.6585,-149.6092,2,20.9,15,"Central Alaska"
"43","ak","10840805","1","Thursday, November  7, 2013 12:51:19 UTC",61.6889,-151.2238,1.3,70.9,7,"Southern Alaska"
"44","ci","11388722","2","Thursday, November  7, 2013 12:34:20 UTC",33.386,-116.9595,1.5,15.7,41,"Southern California"
"45","ak","10840799","1","Thursday, November  7, 2013 12:30:46 UTC",63.3841,-147.9886,1,39.3,7,"Central Alaska"
"46","ak","10840790","1","Thursday, November  7, 2013 12:09:24 UTC",60.3103,-141.9353,1.2,0,12,"Southern Alaska"
"47","nc","72102761","0","Thursday, November  7, 2013 12:06:37 UTC",38.7533,-122.7108,1,3.8,9,"Northern California"
"48","ak","10840780","1","Thursday, November  7, 2013 11:45:27 UTC",63.2161,-151.1419,1.7,8.4,9,"Central Alaska"
"49","ci","11388698","2","Thursday, November  7, 2013 11:44:42 UTC",32.9488,-115.859,1.3,6.4,8,"Southern California"
"50","ci","11388682","2","Thursday, November  7, 2013 11:43:56 UTC",33.5608,-117.225,1.5,12.2,44,"Southern California"
"51","ci","11388658","2","Thursday, November  7, 2013 11:38:41 UTC",35.2903,-118.6152,1.3,5.2,13,"Central California"
"52","ci","11388650","2","Thursday, November  7, 2013 11:33:58 UTC",34.5028,-118.8293,2.1,0,32,"Southern California"
"53","ci","11388642","2","Thursday, November  7, 2013 11:33:27 UTC",34.0768,-117.5607,1.2,12.3,11,"Greater Los Angeles area, California"
"54","ci","11388634","2","Thursday, November  7, 2013 11:32:29 UTC",34.0727,-117.5685,2.3,12.9,88,"Greater Los Angeles area, California"
"55","nc","72102741","0","Thursday, November  7, 2013 11:28:12 UTC",36.5658,-121.1632,1.6,7.7,12,"Central California"
"56","nc","72102736","0","Thursday, November  7, 2013 11:27:44 UTC",36.5685,-121.161,1.4,10.2,10,"Central California"
"57","ci","11388626","2","Thursday, November  7, 2013 11:16:58 UTC",33.1527,-115.979,1.2,8.6,25,"Southern California"
"58","ak","10840770","1","Thursday, November  7, 2013 10:50:24 UTC",61.5109,-149.9242,1.4,34.8,7,"Southern Alaska"
"59","nc","72102711","0","Thursday, November  7, 2013 10:49:18 UTC",39.313,-123.4595,2,2.8,10,"Northern California"
"60","pr","13311006","0","Thursday, November  7, 2013 10:18:41 UTC",18.7527,-64.3695,2.2,45,5,"Virgin Islands region"
"61","pr","13311005","0","Thursday, November  7, 2013 10:17:43 UTC",18.6035,-67.6098,2.6,5,11,"Puerto Rico region"
"62","nc","72102691","0","Thursday, November  7, 2013 10:06:50 UTC",36.2012,-120.7527,1.5,9.6,9,"Central California"
"63","nn","00428615","1","Thursday, November  7, 2013 10:01:54 UTC",39.6717,-119.6906,1.1,10.8,12,"Nevada"
"64","ak","10840757","1","Thursday, November  7, 2013 09:59:04 UTC",62.0373,-150.5072,2.3,48.7,45,"Central Alaska"
"65","nc","72102686","4","Thursday, November  7, 2013 09:55:09 UTC",40.3747,-125.2532,2.8,7.2,27,"offshore Northern California"
"66","ak","10840755","1","Thursday, November  7, 2013 09:48:37 UTC",61.834,-148.5325,1.3,16.6,9,"Southern Alaska"
"67","ci","11388618","2","Thursday, November  7, 2013 09:43:47 UTC",35.0643,-118.3487,1.4,3.4,12,"Southern California"
"68","nc","72102666","1","Thursday, November  7, 2013 09:37:03 UTC",38.8265,-122.8105,1.6,1.9,24,"Northern California"
"69","nc","72102661","1","Thursday, November  7, 2013 09:32:52 UTC",38.8415,-122.8405,1.7,2.7,33,"Northern California"
"70","se","110713a","A","Thursday, November  7, 2013 09:20:07 UTC",35.5268,-84.53,1.8,17.3,11,"eastern Tennessee"
"71","ak","10840744","1","Thursday, November  7, 2013 09:20:02 UTC",62.4565,-152.1025,2,100,21,"Central Alaska"
"72","ci","11388610","3","Thursday, November  7, 2013 09:19:09 UTC",32.2258,-115.2917,3.6,15.5,15,"Baja California, Mexico"
"73","ak","10840742","2","Thursday, November  7, 2013 09:11:56 UTC",60.5045,-152.3617,1.6,107.7,13,"Southern Alaska"
"74","ak","10840734","1","Thursday, November  7, 2013 08:56:54 UTC",62.0416,-150.4932,1.8,52.3,25,"Central Alaska"
